"R_KD","B_KD","R_SIG_STR.","B_SIG_STR.","R_TOTAL_STR.","B_TOTAL_STR.","R_SUB_ATT","B_SUB_ATT","R_CTRL","B_CTRL","R_HEAD","B_HEAD","R_BODY","B_BODY","R_DISTANCE","B_DISTANCE","win_by","Fight_type","Winner","R_height_cm","R_reach_in_cm","R_stance","R_age","B_height_cm","B_reach_in_cm","B_stance","B_age","R_fighter","B_fighter"
0,0,0.426229508196721,0.626865671641791,0.428571428571429,0.681318681318681,0,1,0.216666666666667,1.93333333333333,0.306122448979592,0.583333333333333,0.857142857142857,1,0.425531914893617,0.571428571428571,"Submission","Heavyweight Bout","Martin Buday",193.04,200.66,"Orthodox",34,193.04,195.58,"Orthodox",32,"Josh Parisian","Martin Buday"
0,0,0.285714285714286,0.660377358490566,0.6875,0.734939759036145,0,0,0,4.3,0,0.64,0,0,0.285714285714286,0.75,"KO/TKO","Featherweight Bout","Isaac Dulgarian",175.26,182.88,"Orthodox",25,170.18,180.34,"Orthodox",27,"Francis Marshall","Isaac Dulgarian"
1,0,0.303030303030303,0.222222222222222,0.303030303030303,0.222222222222222,0,0,0.0666666666666667,0,0.178571428571429,0.214285714285714,0,0,0.384615384615385,0.222222222222222,"KO/TKO","Light Heavyweight Bout","Dustin Jacoby",190.5,193.04,"Orthodox",36,195.58,210.82,"Southpaw",31,"Dustin Jacoby","Kennedy Nzechukwu"
0,0,0,0,0,0,3,0,0,0.65,0,0,0,0,0,0,"Submission","Featherweight Bout","Diego Lopes",180.34,182.88,"Orthodox",29,167.64,167.64,"Southpaw",37,"Diego Lopes","Gavin Tucker"
1,0,0.385026737967914,0.396551724137931,0.408163265306122,0.419354838709677,0,0,0.783333333333333,1.7,0.273972602739726,0.229885057471264,0.692307692307692,0.882352941176471,0.35632183908046,0.371428571428571,"Decision - Unanimous","Bantamweight Bout","Kyler Phillips",172.72,182.88,"Orthodox",28,170.18,170.18,"Orthodox",36,"Kyler Phillips","Raoni Barcelos"
0,0,0.558139534883721,0.5,0.573122529644269,0.6,0,0,5.45,1.01666666666667,0.478527607361963,0.350515463917526,0.75,0.892857142857143,0.5,0.425925925925926,"Decision - Unanimous","Light Heavyweight Bout","Tanner Boser",187.96,190.5,"Orthodox",32,185.42,187.96,"Orthodox",28,"Tanner Boser","Aleksa Camur"
0,0,0.375,0.263157894736842,0.525641025641026,0.527777777777778,2,1,9.43333333333333,0.216666666666667,0.347826086956522,0.0714285714285714,1,0.75,0.2,0.263157894736842,"Submission","Welterweight Bout","Carlston Harris",175.26,187.96,"Switch",37,182.88,193.04,"Orthodox",36,"Jeremiah Wells","Carlston Harris"
0,0,0.531914893617021,0.38728323699422,0.625925925925926,0.407608695652174,1,0,1.85,6.16666666666667,0.362903225806452,0.323741007194245,0.859649122807018,0.612903225806452,0.414285714285714,0.358108108108108,"Decision - Unanimous","Featherweight Bout","Billy Quarantillo",177.8,177.8,"Orthodox",35,180.34,180.34,"Switch",35,"Billy Quarantillo","Damon Jackson"
0,0,0.309352517985612,0.518518518518518,0.373493975903614,0.622516556291391,0,0,0.116666666666667,6.08333333333333,0.254385964912281,0.439024390243902,0.5625,0.6875,0.308270676691729,0.488636363636364,"Decision - Unanimous","Lightweight Bout","Ludovit Klein",190.5,190.5,"Orthodox",26,170.18,182.88,"Southpaw",29,"Ignacio Bahamondes","Ludovit Klein"
0,0,0.222222222222222,0.65,0.363636363636364,0.666666666666667,0,2,0.35,5.4,0.25,0.548387096774194,0,1,0.176470588235294,0.642857142857143,"Submission","Flyweight Bout","Assu Almabayev",170.18,185.42,"Southpaw",32,162.56,165.1,"Orthodox",30,"Ode Osbourne","Assu Almabayev"
